MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 16:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 16:00
10010803683,000000000022208324,1.1270,Active Export Interval (kWh),21-08-2025 16:00
10010803683,000000000022208324,1.7000,Active Export Interval (kWh),21-08-2025 15:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 15:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 15:00
10010803683,000000000022208324,1.7420,Active Export Interval (kWh),21-08-2025 15:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 14:30
10010803683,000000000022208324,2.1140,Active Export Interval (kWh),21-08-2025 14:30
10010803683,000000000022208324,2.0040,Active Export Interval (kWh),21-08-2025 14:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 14:00
10010803683,000000000022208324,2.1370,Active Export Interval (kWh),21-08-2025 13:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 13:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 13:00
10010803683,000000000022208324,2.0600,Active Export Interval (kWh),21-08-2025 13:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 12:30
10010803683,000000000022208324,2.0680,Active Export Interval (kWh),21-08-2025 12:30
10010803683,000000000022208324,2.3210,Active Export Interval (kWh),21-08-2025 12:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 12:00
10010803683,000000000022208324,2.2970,Active Export Interval (kWh),21-08-2025 11:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 11:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 11:00
10010803683,000000000022208324,1.9800,Active Export Interval (kWh),21-08-2025 11:00
10010803683,000000000022208324,1.2780,Active Export Interval (kWh),21-08-2025 10:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 10:30
10010803683,000000000022208324,1.5040,Active Export Interval (kWh),21-08-2025 10:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 10:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 09:30
10010803683,000000000022208324,0.8420,Active Export Interval (kWh),21-08-2025 09:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 09:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 09:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 08:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),21-08-2025 08:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 08:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 08:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 07:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),21-08-2025 07:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 07:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 07:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 06:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 06:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 06:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 06:00
10010803683,000000000022208324,0.0020,Active Import Interval (kWh),21-08-2025 05:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 05:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 05:00
10010803683,000000000022208324,0.1240,Active Import Interval (kWh),21-08-2025 05:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 04:30
10010803683,000000000022208324,0.1190,Active Import Interval (kWh),21-08-2025 04:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 04:00
10010803683,000000000022208324,1.0670,Active Import Interval (kWh),21-08-2025 04:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 03:30
10010803683,000000000022208324,1.1460,Active Import Interval (kWh),21-08-2025 03:30
10010803683,000000000022208324,1.1500,Active Import Interval (kWh),21-08-2025 03:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 03:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 02:30
10010803683,000000000022208324,1.3930,Active Import Interval (kWh),21-08-2025 02:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 02:00
10010803683,000000000022208324,0.1190,Active Import Interval (kWh),21-08-2025 02:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 01:30
10010803683,000000000022208324,0.1340,Active Import Interval (kWh),21-08-2025 01:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 01:00
10010803683,000000000022208324,0.1710,Active Import Interval (kWh),21-08-2025 01:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 00:30
10010803683,000000000022208324,0.1590,Active Import Interval (kWh),21-08-2025 00:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),21-08-2025 00:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),21-08-2025 00:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 23:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 23:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 23:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 23:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 22:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 22:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 22:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 22:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 21:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),20-08-2025 21:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),20-08-2025 21:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 21:00
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),20-08-2025 20:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 20:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 20:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 20:00
10010803683,000000000022208324,0.0020,Active Export Interval (kWh),20-08-2025 19:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 19:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 19:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 19:00
10010803683,000000000022208324,0.0030,Active Export Interval (kWh),20-08-2025 18:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 18:30
10010803683,000000000022208324,0.2290,Active Export Interval (kWh),20-08-2025 18:00
10010803683,000000000022208324,0.0170,Active Import Interval (kWh),20-08-2025 18:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 17:30
10010803683,000000000022208324,0.3890,Active Export Interval (kWh),20-08-2025 17:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 17:00
